Name,Address,Province,City,Postal Code,Telephone,Email,Find or become a mentor to a newcomer,Francophone service provider,Help finding a job,Help preparing for the citizenship test,Help with daily life,Job-specific language training,Language assessment,Language training (general),Other Services,Services for LGBTQ2,Services for refugees,Services for seniors,Services for women,Services for youth
Collège Boréal (Timmins),395 Theriault Blvd,Ontario,Timmins,P4N 5B6,705-267-5850, ,False,True,False,False,True,False,False,False,True,False,True,False,False,False
Collège communautaire du Nouveau-Brunswick - Campus de Bathurst (CCNB),725 College Road PO Box 266,New Brunswick,Bathurst,E2A 3Z2,506-547-2145,bathurst@ccnb.ca,False,True,False,False,False,True,True,True,False,False,False,False,False,False
Collège Éducacentre College,301-7380 King George Blvd,British Columbia,Surrey,V3W 5A5,778-565-6690, ,True,True,True,False,True,False,False,True,True,False,True,False,False,False
Collège Éducacentre College,842 Thurlow Street,British Columbia,Vancouver,V6E 1W2,604-708-5100, ,False,True,False,False,False,True,False,True,True,False,False,False,False,False
Collège Mathieu ,201-308 4th Avenue North ,Saskatchewan,Saskatoon,S7K 2L7,306-384-2722,education.saskatoon@collegemathieu.sk.ca,False,True,False,False,False,False,False,True,False,False,False,False,False,False
Collège Mathieu ,3304 Dewdney Avenue ,Saskatchewan,Regina,S4T 7V1,306-565-3525,education.saskatoon@collegemathieu.sk.ca,False,True,False,False,False,False,False,True,False,False,False,False,False,False
College Nordique Francophone,4921 49th Street 2nd floor P.O. Box 986,Northwest Territories,Yellowknife,X1A 2N7,867-920-7027,info@college-nordique.com,False,True,False,False,False,True,False,True,False,False,False,True,False,False
Colleges and Institutes Canada,701-1 Rideau St  ,Ontario,Ottawa,K1N 8S7,613-746-2222,HSkelton@collegesinstitutes.ca,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Colleges Ontario,130 Queens Quay East  ,Ontario,Toronto,M5A 0P6,647-258-7693, ,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Collingwood Neighbourhood House,5288 Joyce Street,British Columbia,Vancouver,V1N 3K3,604-435-0323, ,False,False,True,False,True,False,False,True,False,False,False,False,False,False
Columbia Basin Alliance for Literacy,#203 421 9th Ave. N,British Columbia,Golden,V0A 1H0,250-344-8392,info@cbal.org,True,False,True,False,True,True,True,True,False,False,True,False,False,False
Columbia Basin Alliance for Literacy,1160 Cedar Avenue,British Columbia,Trail,V1R 4B7,250-368-6770,info@cbal.org,False,False,False,False,True,False,True,True,False,False,True,False,False,False
Columbia Basin Alliance for Literacy,19A 9th Avenue South,British Columbia,Castlegar,V1C 2L8,250-581-2112,info@cbal.org,False,False,False,False,True,False,True,True,False,False,True,False,False,False
Columbia Basin Alliance for Literacy,370 B Wallinger Ave,British Columbia,Kimberley,V1A 1S1,250-427-6027,info@cbal.org,False,False,False,False,True,False,True,True,False,False,True,False,False,False
Columbia Basin Alliance for Literacy,44 Mt. Washburn Street,British Columbia,Fernie,V0B 1G0,250-946-6474,info@cbal.org,True,False,True,False,True,True,True,True,False,False,True,False,False,False
Columbia Basin Alliance for Literacy,486 72nd Avenue,British Columbia,Grand Forks (Boundary region),V0H 1H5,250-442-2704 ext. 229,info@cbal.org,False,False,False,False,True,False,True,True,False,False,True,False,False,False
Columbia Basin Alliance for Literacy,521 4th Avenue,British Columbia,Creston,V0B 1G0,250-946-6474,info@cbal.org,False,False,False,False,True,False,True,True,False,False,True,False,False,False
Columbia Basin Alliance for Literacy,5-223 16th Avenue North,British Columbia,Cranbrook,V0B 1G5,250-402-9448,info@cbal.org,False,False,False,False,True,False,True,True,False,False,True,False,False,False
Columbia Basin Alliance for Literacy,608 Lake street,British Columbia,Nelson,V1L 4C8,250-551-5498,info@cbal.org,False,False,False,False,True,False,True,True,False,False,True,False,False,False
Columbia Basin Alliance for Literacy,712B 10th Street,British Columbia,Invermere,V0A 1K4,250-341-7188,info@cbal.org,False,False,False,False,True,False,True,True,False,False,True,False,False,False
Columbia Basin Alliance for Literacy,98 6th Avenue ,British Columbia,Nakusp,V0G 1R0,250-265-3736, ,True,False,False,False,True,False,True,True,False,False,False,False,False,False
Columbia College,802 Manning Road North East,Alberta,Calgary,T2E 7N8,403-235-9300,columbia@columbia.ab.ca,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Communauté francophone accueillante de Clare - Municipalité de Clare,1185 Highway 1,Nova Scotia,Little Brook,B0W 1M0,902-769-2031, ,True,True,False,False,True,False,False,False,True,True,False,True,True,True
Community Development Council Durham,458 Fairall Street,Ontario,Ajax,L1S 1R6,905-686-2661,info@cdcd.org,True,False,False,False,True,False,False,False,True,False,True,True,True,True
Community Development Council Durham (Durham Catholic District School Board),650 Rossland Rd West ,Ontario,Oahawa,L1J 7C4,905-686-2661,info@cdcd.org,True,False,False,True,True,False,False,False,True,False,True,True,True,True
Community Development Council Durham (Durham District School Board),400 Taunton Road E,Ontario,Whitby,L1R 2K6,905-686-2661,info@cdcd.org,True,False,False,True,True,False,False,False,True,False,True,True,True,True
Community Development Council Durham (E A Lowell School),120 Centre Street South,Ontario,Oshawa,L1H 4A3,905-440-4489,info@cdcd.org,True,False,False,False,True,False,False,False,True,False,True,True,True,True
Community Development Council Durham (Gifford Centre),1003 Gifford Street,Ontario,Whitby,L1N 2S3,905-666-1255,info@cdcd.org,True,False,False,False,True,False,False,False,True,False,True,True,True,True
Community Development Council Durham (Welcome Centre Immigrant Services),1400 Bayly Avenue ,Ontario,Pickering,L1W 3R2,905-686-2661,info@cdcd.org,True,False,False,True,True,False,False,False,True,False,True,True,True,True
Community Futures North Central Development,P.O. Box 1208   ,Manitoba,Thompson,R8N 1P1,204-677-1490,tdj@northcentraldevelopment.ca,False,False,True,False,True,False,False,False,False,False,False,False,False,False
Compas - Fédération des francophones de Terre-Neuve et du Labrador (FFTNL),95 avenue Bonaventure Avenue suite 101,Newfoundland and Labrador,St. John's,A1B 4P5,709-800-6590,Compas@fftnl.ca,False,True,False,True,True,True,False,False,True,False,False,True,True,True
Conestoga College,145 Lincoln Road 2nd Floor,Ontario,Waterloo,N2L 4C7,519-886-6749, ,False,False,False,False,True,True,False,True,False,False,False,False,False,False
Conestoga College,150 Main Street 1st Floor,Ontario,Cambridge,N1R 6P9,519-740-8797, ,False,False,False,False,True,True,False,True,False,False,False,False,False,False
Conestoga College,299 Doon Valley Drive,Ontario,Kitchener,N2G 4M4,519-748-5220, ,False,False,True,False,True,True,False,True,False,False,False,False,False,False
Conestoga College,800 King Street West 3rd Floor,Ontario,Kitchener,N2G 1E8,519-886-3300, ,False,False,False,False,True,True,False,True,False,False,False,False,False,False
Confederation Court Community House,2483-A Walkley Road,Ontario,Ottawa,K1G 3H2,613-521-6807, ,True,False,False,False,False,False,False,True,False,False,True,False,False,False
Connecture Canada,1030 KAMATO ROAD  SUITE 201  ,Ontario,Mississauga,L4W 4B6,905-366-1021, ,True,True,True,False,True,False,False,False,True,False,True,False,False,False
Conseil de dévelopment économique de l'Alberta,Unit 140 - 8627 91 Street,Alberta,Edmonton,T6C 3N1,780-414-6125,Edmonton@lecdea.ca,False,True,True,False,False,False,False,False,True,False,False,False,False,False
Conseil de développement des municipalites bilingue de Manitoba,200 - 614 Des Meurons St,Manitoba,Winnipeg,R2H 2P9,204-925-2320,cdem@cdem.com,False,True,True,False,False,False,False,False,True,False,False,False,False,False
Conseil de developpement economique des Territoires du Nord-Ouest,5204 50th Avenue suite 102,Northwest Territories,Yellowknife,X1A 1E2,867-873-5962, ,False,True,True,False,False,False,False,False,True,False,False,True,False,True
Conseil des organismes francophones de la région de Durham,4101 Baldwin Street South,Ontario,Whitby,L1R 2W6,905-434-7676,cbazinet@cofrd.org,False,True,False,False,True,False,False,False,False,True,False,False,False,True
Conseil des organismes francophones de la région de Durham,57 Simcoe Street South Suite 2D,Ontario,Oshawa,L1H 4G4,905-434-7676,cbazinet@cofrd.org,True,True,True,False,True,False,False,False,False,True,False,False,False,True
Conseil Économique du Nouveau-Brunswick Inc.,236 St. George Street Suite 314,New Brunswick,Moncton,E1C 1W1,506-857-3143,cenb@cenb.com,False,True,True,False,False,False,False,False,True,False,False,False,True,False
Conseil Économique et Coopératif de la Saskatchewan (CÉCS) formerly known as  Conseil de la Coopération de la Saskatchewan,#205 - 1440 9th Avenue N,Saskatchewan,Regina,S4R 8B1,306-566-6001, ,False,True,True,False,True,False,False,False,True,False,False,True,True,True
Conseil Économique et Coopératif de la Saskatchewan (CÉCS) formerly known as  Conseil de la Coopération de la Saskatchewan,102-308 4th Ave North,Saskatchewan,Saskatoon,S7K 2L7,306-244-4916, ,False,True,True,False,True,False,False,False,True,False,False,True,True,True
Conseil jeunesse provincial inc.,(234-236) 340 Provencher Boulevard,Manitoba,Winnipeg,R2H 0G7,204-237-8947,direction@conseil-jeunesse.mb.ca,False,True,False,False,True,False,False,False,True,False,False,False,False,True
Conseil pour le développement de l'alphabétisme et des compétences des adultes du Nouveau-Brunswick (CODAC NB),236 Saint-George Street Suite 425,New Brunswick,Moncton,E1C 1W1,866-473-4404, ,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Conseil scolaire catholique MonAvenir,110 Drewry Avenue,Ontario,Toronto,M2M 1C8,416-397-6564, ,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Conseil scolaire catholique MonAvenir,1780 Meadowvale Boulevard,Ontario,Mississauga,L5N 7L4,905-820-7460,info@cdcd.org,False,True,False,False,True,False,False,False,False,False,False,False,False,True
Conseil scolaire francophone de la Colombie-Britannique École Anne-Hébert,7051 Killarney St,British Columbia,Vancouver,V5S 2Y5,604-437-4849, ,True,True,True,False,True,False,False,False,True,False,True,False,False,True
Conseil scolaire francophone de la Colombie-Britannique École des Colibris,590 W 65th Avenue,British Columbia,Vancouver,V6P 2P8,604-214-2710, ,True,True,True,False,True,False,False,False,True,False,False,False,False,True
Conseil scolaire francophone de la Colombie-Britannique École des Navigateurs,8580 Kilgour place,British Columbia,Richmond,V7C 3R1,604-295-4056, ,True,True,True,False,True,False,False,False,True,False,False,False,False,True
Conseil scolaire francophone de la Colombie-Britannique École des Pionniers-de-Maillardville,1618 Patricia Avenue,British Columbia,Port Coquitlam,V3B 4A8,604-552-7915, ,True,True,True,False,True,False,False,False,True,False,False,False,False,True
Conseil scolaire francophone de la Colombie-Britannique École Gabrielle-Roy,6887 132 street,British Columbia,Surrey,V3W 4L9,604-599-6688, ,True,True,True,False,True,False,False,False,True,False,False,False,False,True
Conseil scolaire francophone de la Colombie-Britannique École Jules-Verne ,5445 Baillie street,British Columbia,Vancouver,V5Z 3M6,604-731-8378,patricia_garvey@csf.bc.ca,True,True,True,False,True,False,False,False,True,False,False,False,False,True
Conseil scolaire francophone de la Colombie-Britannique École Rose-des-vents,380 West Kings Rd,British Columbia,North Vancouver,V7N 2L9,604-980-6040,patricia_garvey@csf.bc.ca,True,True,True,False,True,False,False,False,True,False,False,False,False,True
Coopération Intégration Canada Inc,404 MacArthur Ave,Ontario,Ottawa,K1K 1G8,613-805-3437,info@cican.ca,True,True,False,True,False,False,False,True,False,False,False,False,False,False
COSTI Immigrant Services,10 Gillingham Drive Suite 300,Ontario,Brampton,L6X 5A5,905-459-3584,info@costi.org,False,False,True,False,True,False,False,True,False,False,False,False,False,True
COSTI Immigrant Services,100 Lippincott Street,Ontario,Toronto,M5S 2P1,647-827-1429,info@costi.org,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COSTI Immigrant Services,16655 Yonge Street Unit 26,Ontario,Newmarket,L3X 1V6,1-877-761-1155,info@welcomecentre.ca,False,False,False,False,False,False,False,True,False,False,False,False,False,False
COSTI Immigrant Services,1700 Wilson Avenue Suite 206,Ontario,Toronto,M3L 1A3,647-827-1292,info@costi.org,False,False,False,False,True,False,False,True,False,False,False,False,False,False
COSTI Immigrant Services,1710 Dufferin Street,Ontario,Toronto,M6E 3P2,416-658-1600,info@costi.org,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COSTI Immigrant Services,227 Vodden Street East Unit 3,Ontario,Brampton,L6V 1N2,905-459-6700,info@costi.org,False,False,True,False,True,False,False,True,False,False,False,False,False,True
COSTI Immigrant Services,6750 Winston Churchill Blvd Unit A,Ontario,Brampton,L5N 4C4,905-567-0482,info@costi.org,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COSTI Immigrant Services,7220 Kennedy Road,Ontario,Markham,L3R 7P2,1-877-761-1155,info@welcomecentre.ca,False,False,True,False,False,True,False,False,False,False,False,False,False,False
COSTI Immigrant Services,760 College Street,Ontario,Toronto,M6G 4A7,416-534-7400,info@costi.org,False,False,False,False,True,False,False,True,False,False,True,False,False,False
COSTI Immigrant Services,9100 Jane Street Building H,Ontario,Vaughan,L4K OA4,1-877-761-1155,info@welcomecentre.ca,False,False,True,False,True,True,False,True,False,False,False,False,False,False
COSTI Immigrant Services,9325 Yonge Street,Ontario,Richmond Hill,L4C 0A8,1-877-761-1155,info@welcomecentre.ca,False,False,True,False,True,True,False,True,False,False,False,False,False,False
County of Wellington,321 St. Andrew Street West,Ontario,Fergus,L8E 1G7,519-837-2670 ext. 4819, ,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Cowichan Valley Intercultural and Immigrant Aid Society,205 - 394 Duncan Street,British Columbia,Duncan,V9L 3W4,250-748-3112, ,True,False,True,False,True,True,True,True,True,False,False,True,True,True
Cultural Chats BC Association,6670 Stanley Street Burnaby BC,British Columbia,Burnaby,V5E 1T8,604-600-9846,culturechats@gmail.com,False,False,False,False,True,False,False,False,True,False,False,False,True,False
CultureLink (Alexander Muir/Gladstone Junior and Senior Public School),108 Gladstone Ave.,Ontario,Toronto,M6J 3L2,416-393-9140, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Archbishop Romero Catholic Secondary School),99 Humber Blvd,Ontario,Toronto,M6N 2H4,416-393-5555, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Bishop Marrocco/Thomas Merton Catholic Secondary School),1515 Bloor Street West,Ontario,Toronto,M6P 1A3,416-393-5545, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Bloor Collegiate Institute),1141 Bloor Street West,Ontario,Toronto,M6H 1M9,416-393-1420, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (Brock Junior Public School),388 Brock Ave.,Ontario,Toronto,M6H3N3,416-393-9245, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Central Technical School),725 Bathurst Street,Ontario,Toronto,M5S 2R5,416-393-0060, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Central Toronto Academy),570 Shaw Street,Ontario,Toronto,M6G 3L6,416-393-0030, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Charles G Fraser Junior Public School),79 Manning Avenue,Ontario,Toronto,M6J 2K6,416-393-1830, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Church Street Junior Public School),83 Alexander Street,Ontario,Toronto,M4Y 1B7,416-393-1250, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (City Hall),100 Queen St W,Ontario,Toronto,M5H 2N2,416-392-2489, ,False,False,False,False,True,False,False,False,True,False,False,False,False,False
CultureLink (COSTI/ Ralph Chiodo Family Immigrant Reception Centre),100 Lippincott St. ,Ontario,Toronto,M5S 2P1,416-922-6688, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (Culturelink),2340 Dundas Street West ,Ontario,Toronto,M6P 4A9,416-588-6288, ,True,False,True,False,True,False,False,False,True,False,False,False,False,False
CultureLink (David Hornell Junior School),32 Victoria St.,Ontario,Toronto,M8V 1M6,416-394-7690, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (Dundas Junior Public School),935 Dundas St. E,Ontario,Toronto,M4M 1R4,416-393-9565, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Eatonville Library),430 Burnhamthorpe Road,Ontario,Toronto,M9B 2B1,416-394-5270, ,False,False,False,False,True,False,False,False,True,False,False,False,False,False
CultureLink (Etienne Brule Junior School),50 Cloverhill Rd.,Ontario,Toronto,M8Y 1T3,416-394-7850, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Harbord Collegiate Institute,286 Harbord  Street,Ontario,Toronto,M6G 1G5,416-393-1650, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (Holy Family/St.Josaphat),141 Close Ave. ,Ontario,Toronto,M6K 2V6,416-393-5212, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Housing Connections),176 Elm Street,Ontario,Toronto,M5T 3M4,416-397-7400, ,False,False,False,False,True,False,False,False,True,False,False,False,False,False
CultureLink (Huron St Public School),541 Huron St. ,Ontario,Toronto,M5R2R6,416-393-1570, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (Islington Junior Middle School),44 Cordova Ave,Ontario,Toronto,M9A 2H5,416-394-7870, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Jarvis Collegiate Institute),495 Jarvis Street,Ontario,Toronto,M4Y 2G8,416-393-0140, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (Jesse Ketchum Junior and Senior Public School),61 Davenport Road,Ontario,Toronto,M5R 1H4,416-393-1530, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (John English JM),95 Mimico Ave,Ontario,Toronto,M8V 1R4,416-394-7660, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Keele Street Junior Public School),99 Mountview Avenue,Ontario,Toronto,M6P 2L5,416-393-9035, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Lakeshore Collegiate Institute),350 Kippling Avenue,Ontario,Toronto,MSV 3L1,416-394-7650, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Lillian H Smith Library),239 College Street,Ontario,Toronto,M5T 1R5,416-393-7746, ,False,False,False,False,True,False,False,False,True,False,False,False,False,False
Culturelink (Lord Dufferin Junior and Senior Public School),350 Parliament Street,Ontario,Toronto,M5A 2Z7,416-393-1760, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (Market Lane Junior and Senior Public School),246 The Esplanade,Ontario,Toronto,M5A 4J6,416-393-1300, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (Michael Power/St. Joseph High School),105 Eringate Drive,Ontario,Toronto,M9C 3Z7,416-393-5529, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Mimico Library),47 Station Road,Ontario,Toronto,M8V 2R1,416-394-5330, ,False,False,False,False,True,False,False,False,True,False,False,False,True,False
Culturelink (Monsignor Fraser Orientation Centre),700 Markham Street,Ontario,Toronto,M6G 2M3,416-393-5500, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Monsignor Fraser-Isabella Campus),146 Isabella Street ,Ontario,Toronto,M4Y 1P6,416-393-5533, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Nelson Mendela Park Public School),440 Shuter Street,Ontario,Toronto,M5A 1X6,416-393-1620, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (Ogden Public School),33 Phoebe St. ,Ontario,Toronto,M5T 1A8,416-393-9110, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Orde Street Junior Public School),18 Orde Street,Ontario,Toronto,M5T 1N7,416-393-1900, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Our Lady of Lourdes Catholic School),444 Sherboune Street,Ontario,Toronto,M4T 1K2,416-393-5221, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Our Lady of Victory Separate School),70 Guestville ,Ontario,Toronto,M6N 4N3,416-393-5247, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Parkdale Collegiate Institute),209 Jameson Avenue,Ontario,Toronto,M6K 2T3,416-393-9000, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Parkdale Junior and Senior Public School ),78 Seaforth Avenue,Ontario,Toronto,M6K 3L2,416-393-1280, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Parklawn Junior Middle Public School),71 Ballacaine Drive,Ontario,Toronto,M8Y 4B6,416-394-7120, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (Perth Avenue Public School),14 Ruskin Ave. ,Ontario,Toronto,M6P 3P8,416-393-1410, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Queen Victoria Public School),100 Close Avenue,Ontario,Toronto,M6K 2V3,416-393-9200, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (Rose Avenue Junior Public School),675 Ontario St. ,Ontario,Toronto,M4X 1N4,416-393-1260, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Rose Avenue Junior Public School),675 Ontario Street,Ontario,Toronto,M4X 1N4,416-393-1260, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Ryerson Community School ),96 Denison Avenue,Ontario,Toronto,M5T 1E4,416-393-1340, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Sprucecourt Junior Public School),70 Spruce Street,Ontario,Toronto,M5A 2J1,416-393-1522, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (St Joseph's College School),74 Wellesley Street,Ontario,Toronto,M5S 1C4,416-393-5514, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (St Mary's Catholic Secondary School),66 Dufferin Park Avenue,Ontario,Toronto,M6H 1J6,416-393-5528, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (St. Helen's Catholic School),1196 College St. ,Ontario,Toronto,M6H 1B8,416-393-5208, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (St. Marcellus),15 Denfield St,Ontario,Toronto,M9R 3H2,416-393-5311, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (St. Mary of the Angels,1477 Dufferin Street,Ontario,Toronto,M6H 4C7,416-393-5228, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (St. Mathew Catholic School),18 Lavendar Rd.,Ontario,Toronto,M6N 2B5,416-393-5240, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink (St. Michael Catholic School),50 George St. South,Ontario,Toronto,M5A 4B2,416-393-5387, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Wellesley Community Centre),495 Sherbourne Street,Ontario,Toronto,M4X 1K7,416-392-0227, ,False,False,False,False,True,False,False,False,True,False,False,False,False,False
CultureLink (Wellesley Place Employment and Social Services),111 Wellesley St E,Ontario,Toronto,M4Y 3A7,416-699-7215, ,False,False,False,False,True,False,False,False,True,False,False,False,False,False
Culturelink (West End Reception Centre),777 Bloor Street West,Ontario,Toronto,M6G 1L6,416-393-0542, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Culturelink (Western Technical & Commercial School),125 Evelyn Crescent,Ontario,Toronto,M6P 3E3,416-393-0500, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
CultureLink Children and Youth Centre,3535 Dundas St. W. ,Ontario,Toronto,M6S 2S7,416-766-6288,ngouda@culturelink.ca,False,False,True,False,True,False,False,False,True,False,False,False,False,True
Cumberland College,503 - 2nd Street East PO Box 2225,Saskatchewan,Nipawin,S0E 1E0,306-873-3844,clamma@cumberlandcollege.sk.ca,False,False,False,False,False,False,True,True,False,False,False,False,False,False
CutlureLink (St. Joseaphat),110 Tenth St. ,Ontario,Toronto,M8W 3P1,416-393-5291, ,False,False,False,False,True,False,False,False,True,False,False,False,False,True
Dawson Creek Literacy Society ,929 – 102 Avenue,British Columbia,Dawson Creek,V1G 2B5,250-782-4211, ,False,False,False,False,True,False,False,True,True,False,False,True,True,True
Decoda Literacy Solutions Society,1329 Duchess Avenue,British Columbia,West Vancouver,V7T 1H5,250-782-4211, ,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Decoda Literacy Solutions Society,13359 81 Ave,British Columbia,Surrey,V3W 3C5,250-782-4211, ,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Decoda Literacy Solutions Society,1750 E. 22nd Avenue,British Columbia,Vancouver,V5N 2P7,250-782-4211, ,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Decoda Literacy Solutions Society,307-2632 Library Lane,British Columbia,North Vancouver,V7J 0B8,250-782-4211, ,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Decoda Literacy Solutions Society,31321 Blueridge Dr,British Columbia,Abbotsford,V2T 6W2,604-852-9665, ,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Decoda Literacy Solutions Society,3417 Euclid Street,British Columbia,Vancouver,V5R 6H2,604-713-5340, ,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Decoda Literacy Solutions Society,4440 Blundell Road,British Columbia,Richmond,V7C 1G9,604-668-7890, ,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Decoda Literacy Solutions Society,4567 Imperial Street,British Columbia,Burnaby,V5J 1B7,604-664-8344, ,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Decoda Literacy Solutions Society,5409-206 Street,British Columbia,Langley,V3A 2C5,604-664-8344, ,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Decoda Literacy Solutions Society,7651 18th Avenue,British Columbia,Burnaby,V3N 1J1,604-664-8344, ,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Decoda Literacy Solutions Society,800 East Broadway,British Columbia,Vancouver,V5T 1Y1,604-664-8344, ,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Decoda Literacy Solutions Society,980-1125 Howe St,British Columbia,Vancouver,V6Z 2K8,604-681-4199, ,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Delta School District No. 37 - Delview Adult Learning Centre,9115 - 116 Street,British Columbia,North Delta,V4C 5W8,604-594-6100, ,False,False,False,False,False,False,False,True,False,False,False,False,False,False
District scolaire francophone Sud,425 Champlain Street,New Brunswick,Dieppe,E1A 1P2,506-856-3333,DSF-SInfo@nbed.nb.ca,False,True,False,False,False,False,False,False,False,False,False,False,False,True
District scolaire francophone Sud,67 Ragged Point Road,New Brunswick,Saint John,E2K 5C3,506-658-4613,DSF-SInfo@nbed.nb.ca,False,True,False,False,False,False,False,False,False,False,False,False,False,True
District scolaire francophone Sud,715 Priestman Street,New Brunswick,Fredericton,E3B 5W7,506-453-3991,DSF-SInfo@nbed.nb.ca,False,True,False,False,False,False,False,False,False,False,False,False,False,True
DIVERSEcity,1107 - 7330 137th Street,British Columbia,Surrey,V3W 1A3,604-547-1203,info@dcrs.ca,True,False,True,False,True,True,False,True,False,True,True,False,False,True
DIVERSEcity,13455 76th Avenue,British Columbia,Surrey,V3W 2W3,604-547-1200,info@dcrs.ca,True,False,True,True,True,False,False,False,True,True,True,True,True,True
DIVERSEcity,201 - 7330 King George Boulevard,British Columbia,Surrey,V3W 5A5,604-547-1200,info@dcrs.ca,True,False,False,False,True,False,False,False,True,False,True,True,True,True
Diversis ,5 Hill Street 2nd Floor,New Brunswick,Edmundston,E3V 1H7,506-737-9602,info@talentnb.ca,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Dixie Bloor Neighbourhood Centre,3415 Dixie Road,Ontario,Mississauga,L4Y 2A9,905-206-0755, ,False,False,True,True,False,True,False,True,True,False,True,True,False,False
Dixie Bloor Neighbourhood Centre,3431 Fieldgate Drive ,Ontario,Mississauga,L4X 2J4,905-629-3553, ,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Dixie Bloor Neighbourhood Centre,3650 Dixie Road Suite 103,Ontario,Mississauga,L4Y 3V9,905-629-1873, ,False,False,True,False,True,False,False,False,False,False,False,False,True,True
